"","LMC1","LMC2","LMC3","LMC4","LMC5","LMC6","LMC7","LMC8","LMC9","LMC10","LMC11","LMC12","LMC13","LMC14"
"cg07802350",0.383293879869827,0.49749158549837,0.0504021066391317,0.531845230344174,0,0.894954919893283,1,0.675469710431306,1,1,0.0549536210250035,1,0,0
"cg07646467",1,0,0.659070722986117,0.647922076116233,0.951911404082289,0.173795947718461,0.0285494119733007,1,0.84643571049481,0.868777382524624,0,0.456181736173225,0.142172821993088,0
"cg02264990",0.0510028272806543,0.751522966649869,0.542289494584025,0.6473691918122,0,0.247834334657868,0.449504261915595,0,0.882146359767323,0.558700409379188,0.761708410517803,0.614600979603313,0.375253374292135,0.0406327294425293
"cg23916896",1,0,0.532841933756846,0.993888505505957,0.243050966630113,0.334714177465685,0,0.405896359432028,0.879807239380782,0.455738030662342,0.135566430983631,1,1,1
"cg06310816",0.288696390422382,0.801739676415483,0,1,0.170321816976441,0,0.86261148366529,1,1,0.823253736006161,0.108839766838758,1,0.107867352854392,0
"cg24994127",0.975448760664298,0.0769636082789359,0.0823922558933308,1,0.0574525776018922,0.0915449721770985,0,0.650278434953703,1,0.764782733966072,0.314570224830215,0.980877656888157,0.776381458613935,1
"cg15384383",0.742896826718766,0,0.0480267062167755,0.845429169607269,0.127066262747338,0,0.68333690475309,1,1,0.971505194506396,0.0143457614365215,1,0.487381081670744,0.134994616508562
"cg12002589",0.144352540804121,0.458867028248361,0,0.884063496604159,0.162388653815913,0.227030619012431,1,1,1,0.544192356637446,0.244643195430332,1,0.358785049595924,0.287448367530116
"cg05257202",1,0.194941560533029,0.0220739067754266,1,0.0183237484565576,0,0.45000745412692,0.889900542814335,0.733173658915281,0.618519486798276,0.034927971225345,0.946460273014164,0.981904177098768,1
"cg18499201",1,0,0.50152866750917,0.285763518826455,0.78956690975661,0,0.357809189839704,0.63349166324785,1,1,0.0781886398576555,1,1,0.170208542425427
"cg00588920",0,1,0,1,0,0.699292919866375,0.494468537441348,0.925885464995036,0.88760139924409,0.597915409445139,0.110352109232806,0.94902442023053,1,0.420366528429256
"cg14359824",0.304987457015849,0.673088347568593,0,0.44082339695018,0,0.964141139485067,0.81434857118208,1,1,0.580769035731403,0,1,0.0853787138141362,0.508420318689678
"cg20170943",0.657637816276581,0,0.584610795544298,0.211418507847874,0.999078547068993,0.0151169048001386,0.0773849242123427,0,1,1,0.328987085698902,0.269007893495824,0.368991490349886,0.590131313600146
"cg13620034",0.477309423739053,0.678252547059703,0,1,0,0.616146602435242,0.84154268797303,0.636349053278106,1,0.710310073812683,0.194228351697676,0.704842131834789,0,0.853913475198288
"cg26929700",1,0.887675049796851,1,0.458094678646747,0.459493611756342,0.0713362892015555,0,0.223863355182265,0.683651003836803,1,0.375260654088004,0.255033582550779,0,0
"cg11375458",0.144231533986674,0.809461949748934,0.185844290103801,1,0.260416090962692,0.913770059976647,0.10956290404508,0,0.995977462966655,0.684721233518382,0.546960823951444,0.371179727082207,0.0921067179304367,0
"cg05528899",0.731659112864122,0.417801220242046,0.449735242988928,0.402486548955219,0.498793443461458,0.766609787673377,0.446631218397173,0.505716558116581,0.398454764185683,0.834420546335179,0.474554093067817,0.693709537693034,0.547018885069824,0.725755350482636
"cg15506703",0.114112115963449,0.479032730071107,0.138343955926719,0.199346866919214,0.742531917007308,0.803207858324893,1,0.254603772890117,0.664641424354828,0.784595320004778,0.381850474875261,0.553619602353045,0.213004082635756,0.129702852867557
"cg04988514",0.662524893018192,0.519566885535218,0.548784666253877,0,0.325089801086965,0.803195767864513,0.37846422177108,0,1,1,0.537443361092445,0,0.675451110893135,0.177336589983704
"cg04890607",1,0,0.0243891065655199,1,0.493078578390695,0.693200372567716,0,0.273754844273451,1,0.559584616251125,0.228268812502958,1,1,0.696036514520754
"cg03457729",0.761444029741271,0.126816015990074,0,0.826549359281771,0.0958878577544225,0.751474580204788,1,1,1,1,0.158259033877111,1,0,0.0983856171681541
"cg07355507",0.114304734120746,1,0.472859293784086,0.408906045788362,0.979105056841031,0,0.62741809559242,0.646271105906683,0.796406376569006,1,0.0749013538922343,0.410336568194821,0.196690636295661,0.391122768881348
"cg25446076",0.0835563508539789,0.507363240338584,0.0397518985325089,0.651296513251037,0,0.323143424378636,1,0.782574893023192,1,0.945901075323555,0.145098035393263,1,0.555469043470404,0.0273117991357764
"cg03196720",0.0162934771603634,1,0,1,0.39013153076271,0,1,0.193663662805456,0.575999081965053,0.565583114918887,0,1,1,0.915213395747527
"cg05848863",0.691961618887169,0.0437917146053322,0,0.182814424623285,0,0.846443474483189,0,0.846255507574732,0.607173817999008,1,0.116740267435262,1,0.873027066731829,0
"cg18803104",0.499079549408149,0.239712164764148,0,0.941321785601545,0.0115073612270422,0,0.518942705739398,1,1,1,0.444760793855794,0.730269979166926,0.387790568220093,0.138228557425683
"cg18091469",0.616874600224307,0.528712560566169,0,0.770791549340251,0,0.315319137317596,0.916985394442118,0.978132195402532,1,0.645289101712776,0,0.938470540141447,0.74367320493146,0.384562373664908
"cg25267258",0.865995255372927,0,1,0.531918292597093,0.880918084413716,0.335148148403303,0.211077698187523,0,1,0,0,0.751125422841643,1,0.479757002894158
"cg19988492",0.490756357115841,0.500802186032714,0,1,0.316864470654674,0,0.132895728709594,0.930033543508007,0.683704533763985,0.826632480862745,0.295918140471874,1,0.947701199076544,0.774145990937688
"cg03232056",1,0.0881198225140193,0.790563082824985,0.855531863479993,0.0103496420730956,0.664900387895241,0.608549865402208,0.571987751152235,1,0.151267261789135,0,0.76738446927079,0.686691575233197,0.40727041612438
"cg24873592",0.489571471159726,0.746554548931054,0.0721943669485453,0,0.0451610284956527,1,0.840556638698456,0.875845224996164,0.926619890869789,1,0,0.290166257442613,0.298283916935789,0.161414262714642
"cg02248486",1,0.581810860579639,0.0168391455004582,0.940369232143463,0.593348725657282,0,0.625153154030862,0.716261868435238,0.746515953990481,0.861675161435136,0.958223304450622,0.103637209763766,0,0
"cg13951697",1,0.0587056483638437,0.119597731814827,0.508720976455203,1,0.250230893907234,0,0,0.489741039544216,1,0.590450675126831,0.938884487860193,0.479250367311992,0.73932554885755
"cg17509039",0.683838521795021,0.0300900280963573,0.316917372524794,0.526248830711587,1,0.200844301748496,0,0.602594118153367,0.785973029578524,1,0.137885181214988,1,0.513637889221828,0
"cg24902339",0,0.498157565371671,0.115093491017566,0.732100977478734,1,1,0,0,0.465527897050721,0.954703883111583,0,0.653498023620752,0.275392178396402,0.87903258962021
"cg26831119",0.161611700349249,0.95014969193907,0.195486229806996,0.323050971976977,0.18035124994554,0.914440570623343,0.875942171750051,1,0.996097845754511,0.771803812044677,0,0.743205244191825,0,0
"cg13645530",0.0999472566773069,0.481229098154834,0.974998466501397,0.0336605264586889,1,1,0.35447624260289,0,0.465679673205238,1,0.191558991031446,0.294389698877466,0.508175649223289,0.0939129392732947
"cg11969213",0.108324767372401,0.947671442249721,0.231606628526662,0.0763931081697692,0.919916224379555,1,0,0,0.496169098852493,1,0.756704754198012,0,0,0
"cg12479878",0.980591525129443,0.518441129956314,0.212099177297219,0.479544303215285,0.0468150822495887,0.458041957564225,0,0.571945509932162,0.937600974959251,0.735165330392243,0.541988896961813,0.691447407777231,0,0.287448654255992
"cg26109154",0,1,1,1,1,0.0984496542185563,0.197354153212156,0.118753276372055,0.656070209407691,0.817393468596507,0,0.351253881289504,0,0.538462073206032
"cg00661970",1,0.524402758895648,0.631655503229604,0,0,0,1,1,0.995892974815111,0.970609436561466,0.19934092231413,0.42252127539475,0,0.101101893350985
"cg02925367",1,0.328913740315602,0,1,0,0.261490341324559,1,1,0.936168541550468,0.256228175326926,0.0876781689914383,0.963673316539092,0.939189969217588,1
"cg01641792",0.387700008130406,0.516603811471981,0,0.664838734107899,0.0535268173288676,0.199766412601661,0.207143045698551,0.0780911496323317,0.887993272771309,1,0.289641007330676,0.898003689420958,0,1
"cg01462545",1,0.345605235590022,0.279813646460823,0.494164526274179,0.0688713156486303,0.889297394911751,0,0.732955972024393,1,0.273781947512251,0.0615593891824948,0.992612007148613,0.75824470572516,0
"cg14704669",0,1,0.976957983402627,0.0727632707485512,1,0.740832082287869,0.0658733994525259,0,0.450908069332702,1,0.00845462818060674,0.249273223286398,0.234254332144724,0.230933522758762
"cg14480446",0.833186393062523,0.0642638545264646,0,1,0,0.71067412908763,1,1,1,0.837700532375051,0.0710317473071537,1,0.497518253674922,0.122010140114142
"cg03890691",1,0,0,0.604954075150423,0.431540261607885,0.334158359727688,0.571185028738747,0.488270681100257,1,0.741461547004564,0,1,0.529349294865476,0.369199541702581
"cg20659435",0.0544888581809388,0.511901450691058,0.277566954445096,1,0.315641746763476,0.585766433963365,1,0.125723858119435,1,0.502273503235445,0.265879150894778,0.522022609494554,0.530191218593202,0.240445557605565
"cg24977670",0.951489021412658,0,1,0.208266782538462,1,0.0742169020893658,0.649042730447635,0,1,0,0,0.741031315771731,0.73961955392634,0.855410224500707
"cg14859874",0.580017162358998,0.0768045021641837,0.370212259920021,0.798542053649088,0.359484798403971,0.288870978415306,0.279403747525123,0.566748478216896,0.518547918052219,0.843316533192798,0.528463293371292,0.485710483806315,0.616079943337127,0.460570149488654
"cg11738485",0.601703345240244,0.329734835210324,0.414512434058641,0.397860501328272,0.411209333257789,0.532323779415341,0.604623435176066,0.11749107628772,0.272554080783786,0.75681935599416,0.31851178581076,0.315512796107031,0.576770479661889,0.458676166409336
"cg23735712",0,1,0,0.903783542401518,0.127000404625895,0.634109164700221,0.762122970853975,0.261749197795913,1,1,0.380298542668741,0.605129363708624,0,0.002713186758232
"cg25153741",0,0,0.996119344116471,0.396318432467387,0.580795656944943,0,0.674361400463663,0.34095002150304,1,0.895786925796456,0,0.979500713592843,1,0.63861582225419
"cg03184290",0.203624049211096,0.941570507016331,0.394773551195589,0.278002210824215,0.0124129521164603,0.916240621753307,0.919151906403738,1,1,1,0,0.860349829732749,0,0
"cg22164298",1,0,0,0.404591187485609,0.0250327175878345,1,0.592953900651938,0.62938770674122,0.969955511517086,0,0.0837603186641465,0.951140088516809,1,0.960378995890012
"cg07740306",0.964244836340386,0.257885188044739,0.603999362675161,0.240570100583095,1,0.415500414756507,0.260845566572127,0,0.163078980609898,1,0.237644353593868,0.682325880699401,0.29773875230096,0.0130534716975582
"cg06930722",1,0.084921846931229,0.0769421931457158,1,0,1,0.237369300599761,0.40508193028881,0.535960061979462,0.941254010941185,0,1,1,0.349884089697164
"cg23807071",0.943134298849835,0,0,1,0,0.910350243741976,0.283073817453698,0.254074463884184,0.832766690624686,0.485451004739191,0.251349990709004,0.983887170125881,1,0.612467034880694
"cg24810735",0.0535005940293266,0.291385712852148,0,0.195612365395961,0.831302565791081,0.479466412751994,0.674957168843805,0.470093267020663,1,0.945688771936507,0.0802436348622903,1,0.29355486161207,0.364172916537551
"cg13539545",0,0.173448051238584,0,0.238176250267001,0.020567236810505,0.204418573226523,1,0.986689318556221,1,1,0.328006554514352,0.407488147335314,0.0882634848120141,0.954354966629207
"cg06607764",0.442126957732844,1,0.0624088567492247,0.856477191209507,1,0,0,0.636809849606893,0.395248593632343,1,0.258343075152493,1,0,0
"cg07141605",0.935818508532816,0.114748435880607,0.436921486986166,0.499888289999553,0.464441209676903,0.636952859990247,0.153879157725109,0,1,1,0,0.98876376215805,1,0
"cg14802502",0.746401096042975,0,0.833466339031974,0.274180010284787,0.830999055254867,0.899076123540329,0.261950336503623,0,0.965696750044783,0.12568017782757,0,0.88857949405672,0.965771478169907,0.147344267775947
"cg26161708",0.167734147043473,1,0.842573507557344,0,1,0,0.893106236845386,0.129446388773809,0.25676474068255,1,0.212213887332178,0.0166025673408089,0,0.345364894609781
"cg15233062",0.131077437751139,0.790161207474379,0.544718508460799,0.702099493734437,0,0.387905659996608,0.469864683751398,0,0.899703616113823,0.682930558697647,0.854671173863375,0.678431581446444,0.491261572378698,0.179159631997038
"cg15205428",0.910827913899942,0.649330155081396,0.448300252852676,0.859629905807993,0,0,1,0.917742710740437,0.828984328308687,0.371076614033572,0,0.91892261183222,0.932211991188936,0.2705888195653
"cg17760405",0,0.865553389591607,0.0175333659690469,0.441398849899893,0,0.841400989576849,0.668241231157288,1,1,1,0.35563378308265,0.725625812871465,0,0
"cg25551714",1,0.00698140903207978,0.83530325037326,0.302240199979606,0.0575991669779259,0.602575390720693,0.996845664914566,0.398422171993286,1,0.243631573188541,0,0.98109824868575,0.677820161040732,0.247662378598253
"cg00465319",0,0.897622781090976,0.625835402730554,0,1,0.517939966178679,0,0,0.0798594013711265,1,0.457131353178282,0,0,0.795217482618761
"cg26388816",0.332099622468169,0.509234559469096,0.118810109527407,0.789633220671844,0.140240538215182,0.96624362066297,0,0,0.991728669412892,1,0,0.936261780671437,0.175901717068518,0
"cg00249511",0.642955572130106,0.682251605842102,0,0.681595728896653,0,0.136853860364391,0.761649154363411,1,0.52183543518368,1,0.111455625216046,1,0.131254403759527,0.095312959423013
"cg13540960",0.392410848905976,0.293084353351251,0,0,0.164685422101057,1,1,0.964257685082806,0.998498038151997,0.0868683822728215,0,0.848143839225029,1,0
"cg05398903",1,0.442421767155834,0.440815157134755,0,0,0,1,1,0.933994623556619,1,0.22937403684004,0.473895257932439,0,0.0649244621800022
"cg18091046",1,0.207537142867282,0.0524615234815914,1,0.389705828561867,0.304557037455902,0.806847882726138,1,0.760381834785341,0.163896941543662,0.135485768094541,1,0.689216850274667,0.0492068571091291
"cg23192683",1,0,0.251205455222041,0.931863385573691,0.0291365731074215,0.889355421573204,0.986170090027455,0.489502799084506,0.553480977144524,1,0,0.96555478872566,1,0.649943411687441
"cg26579713",1,0,0,1,0.0036165507502172,1,0.470719710604279,0.235367138887055,0.635295232920436,0,0.186563933610038,1,1,1
"cg23480985",1,0.687870234804032,0,1,0.0378927749935343,0.789293260328,0.60647943129295,0.621384611389991,1,0.0421594309185492,0,0.971557924334491,1,0
"cg17737409",1,0,0,0.763517781530457,0.966836927322115,0,0.0887130737074231,0.465657090035132,1,0.283103551570857,0.150029941250693,0.835634765621338,1,0.641515233268876
"cg10528576",0.89473253942095,0.0331794666176836,0.320212709641995,0.947438841177996,0.689828450074116,0.127681161964529,0.257165083942885,0.513943147509026,0.881191783072034,1,0.119931002079959,0.884026105228657,0.103709890884761,0
"cg27664085",0.332753211920825,0.660936414963643,0,1,0.558267434724565,0,0.863370087403334,0.988759981968136,1,0.677817080644889,0,1,0.434184911546283,0.560924371162586
"cg04807470",0.543165969616498,0.436391686430304,0,1,0,0.551951213884139,0.17140011262203,1,1,1,0.0224862424396059,0.81179759174704,0.0409018396297249,0
"cg14762436",1,0.300492881770918,0,0.745477490569455,0.352235665258679,0,0.151806957615705,0.61611099223893,0.3956553317494,1,0.165032856377789,1,0.944870556465503,1
"cg22720392",0,0.128724830941137,1,0.657468204422324,1,0.852603360093999,0.46749875182221,0.230546142163696,1,0.908441803415713,0,0.554437669609473,0,0
"cg14714222",1,0,0,0.775746156441387,0.0613446019794139,1,0.862176260523013,0.012145388618606,0.932183474017978,0,0.0557095007731575,0.995386856362599,1,0.35453362413535
"cg03078269",0.547013984981992,0.176280287367246,0.42873721263368,0.861207817860996,0.0777768145859295,0,1,0.405418461007567,1,0.78872754210257,0.33866252497242,0.81255864726226,0,0.814250052267788
"cg17655624",0.0649664728032422,1,0,1,0,0.847917798625845,0.0727850444825201,0.781527315797909,0.944077423500133,1,0.419900267772833,0.780873500705877,0.163246376097057,0
"cg11173579",1,1,0.81376058853283,0.0182751289164802,1,0.831726934129718,0.421744212201072,0.345587716481119,0.510375434256776,1,0,0.30996047696997,0.119071191186972,0
"cg18644703",1,0,0.203578774588005,0.0573898099227892,0,0.651567898299189,0.539193010676019,1,1,0.500913151808107,0,0.862048790525411,0.862598290124848,0
"cg01268824",0.396468764991957,0.935390256417435,0,0.0730327127354941,0.089523441159963,0.856126284673823,0.348504641713947,0.901356487429105,1,1,0.57143987584621,0.558905716195254,0,0.256067560034858
"cg02256049",0.650359742514702,0.737594894231838,0.632212218625113,0.531447795822166,0.0025422969987142,0.78733349263005,0.359244296607962,1,1,0.692807049638399,0.213076277862244,0.707917422989635,0,0
"cg07455757",0.517298197587862,0.838960892202271,0,1,0,0.726982336463852,0.61070587205471,1,1,0.550440413247918,0.282189516777277,0.768839125245477,0.790624114153355,0
"cg21687740",0.779552240163401,0.146369398379258,0.819477416223236,0.12819926460924,0.521728794474759,0.034345156965193,1,1,1,1,0,0.605974440888911,0,0.720627187798612
"cg01074657",0.762055775420155,1,0,1,0.049416937663677,0.604360293088802,0.478171625047012,1,1,1,0,1,0.26642262251772,0
"cg18669186",0,0.932576689837476,0.162463788999517,0.397806895373393,0.107441500023139,0.704689958667835,0.969478794433409,0.088550105865631,0.877803753051711,0.987045904564494,0.134499858460232,0.499508022184725,0,0.108344293798945
"cg21163347",0.894097238118574,0,1,0.504918582540596,0.844324670180171,0.261239864117163,0.333063804428278,0.104991685654045,1,0.558144604057228,0,0.816270294793697,0.726212017002819,0
"cg23936031",1,0.603794938081942,0.145136072940237,0.964962129359732,0.644952070975943,0,0.672880705259717,0.813723597895903,0.800985032955535,0.874372399732787,0.976296719648651,0.151444890399755,0,0
"cg07570470",0.143143376473635,0.340178069939498,0,0.927047567019751,0.126423486759584,0.463710022063272,0.422411759307432,0.849934146271594,1,1,0.121841566803598,1,0.585358798664305,0.0319191210866765
"cg14189678",0.828708176302088,0,0.930366162295478,0.368205187013436,0.753617973904928,0.765028081705327,0.606686433001106,0.818420497550652,1,0.379306298488045,0,0.868434530498197,0.721832475888103,0
"cg09224689",0.0473108442181668,0.592878793256532,0,0.984614160998653,0,0.415444193981921,1,0.949610150400467,1,0.519436793735612,0.522557537289521,1,0.172838562225162,0
"cg02933362",1,0,0,1,0,0.795753751016267,0.273135179822224,0.687836740276865,0.92451237094611,0,0,0.95539515875577,0.973014691695743,0.627573454954744
"cg21213593",1,0,0.326027687500366,0.980183928586118,0.145772068661704,1,0,0.208628057352951,0.362679853281438,0.719401081451528,0.286707887987795,0.766579579153929,1,0
"cg00055764",1,0.0766792348022093,1,0.236632813290485,1,0.279206634103373,0.619514807824843,0.436170232511132,1,0.494726823841176,0,0.538127003281451,0.201076704035267,0.256893513432681
"cg00907288",0,0.921613151802059,0,0.858993659820681,0.36121504425838,0.383988066747936,0.380669235809449,1,1,1,0,1,0.175873436023848,0
"cg02548132",0.620693962591546,1,0,0.102306258831425,1,0.861811886074576,0,0.596137358894102,0.293325882245078,0.974759463134128,0.0116185387758427,0.8742591948734,0,0
"cg23064609",0.237375999913034,0.465940080826699,0,1,0.0453082452678425,1,1,0.978404713340466,1,1,0,1,0.251933961084763,0
"cg25233685",0.756278886488602,0.380510630799713,0,0,0,0.0369807285740199,0.714667532294892,0.770194211758171,0.802578185898906,0.497766162573037,0.0980277567176687,0.792943144511782,0.731176955486344,0.907423037360242
"cg00418216",0,0.560731535760514,0,0.602964788217485,0.237177648007822,1,0.374571289255265,0,0.891732461308717,0.600304733524252,0.800654389221799,0.394835523153068,0.129339362941642,0
"cg10285466",1,0.00503779272906371,0.43065208745947,0.777992521396747,0,0,0.791122544048857,1,1,0.52521042158824,0,0.933618927582194,0.178356905998439,0.491883843207441
"cg26437825",0.609059035731517,0.555569209069161,0,1,0,0.364151293714225,0.00786179959044568,0.689769647695115,0.820249653314576,0.786001788149615,0.457666053764973,0.733537816545373,0.30051617483777,0
"cg26839512",0.892966092483292,0.507229615103936,0.383137399679832,0.626084961754232,0.121633114425757,0.0823686292689089,0.273020635153482,0.709059769691818,0.882421942130602,1,0.483789366548741,0.789630311565612,0.423312023516224,0.127364572158628
"cg13547712",0.339785488232502,0,0.841679489169046,0.64413294947774,1,0.68056583815189,0.306283901633691,0.354866239277589,1,0.376223223895307,0,1,1,0.0561827571806051
"cg19409060",0.992693880668017,0,0.147935386599841,0.812600817864995,0,0.12128360036754,1,0.727368176393854,0.887573524731783,0.188895764339394,0,0.825588974051166,0.405116041027191,0.747213307954876
"cg22471075",0.90898626338797,0,0.901248552777619,0.661393805793009,0.709793128886383,0.196011523882007,0,0,0.545257454496281,0.879229631923342,0,0.909515366161642,1,0
"cg02535674",0.644467872958488,0.14749503409465,0.546265820998913,0.680768828393753,0,0.766242618130879,0.0138935870649221,0,0.713853261702792,1,0.402832235867428,0.970150087432094,1,0.478997696499823
"cg21770800",0,0.64944620622395,0.159690614597591,0.609072350013993,0,0.792817087022014,1,0.923666018206327,1,1,0.213497574890976,1,0,0.0941438913594002
"cg12343363",0.80630846768286,0.53820993570064,0.516277780435266,0.390241250292066,1,0.0173150895827394,0,0.935547891214094,0.845322336714355,1,0,0.840928228157812,0,0.358459211823209
"cg08659204",1,0,0.874027129421169,0.921099905439366,0.496951057076127,0.276311226781382,0.932525770502045,0.0575834436290467,1,0.857344759066026,0,0.985295710446425,0.032785793866415,0.75111727501672
"cg18566515",0,0.0858630075198895,1,0.0647711776635514,0.541875853407809,1,0.921388387526954,0,0.480769855845243,1,0.450407638632751,0,0.300684966058268,0
